NAME,STATE,COUNTY,CITY,MAX_VOLT,MIN_VOLT,LINES,LATITUDE,LONGITUDE,LON,LAT
UNKNOWN156487,IA,CEDAR,BENNETT,-999999,-999999,0,41.77223147,-90.9949732,-90.9949732,41.77223147
TAP156172,AL,MADISON,HUNTSVILLE,-999999,-999999,3,34.79327312,-86.61605726,-86.61605726000002,34.793273119999995
TAP156173,AL,MADISON,HUNTSVILLE,-999999,-999999,4,34.73526875,-86.62703012,-86.62703012,34.73526875
UNKNOWN156490,WI,POLK,CLEAR LAKE,69,69,3,45.25203812,-92.27568702,-92.27568702000002,45.25203812000001
TAP156174,AL,MADISON,HUNTSVILLE,-999999,-999999,3,34.756919,-86.639803,-86.639803,34.756918999999996
UNKNOWN156491,AL,MONTGOMERY,MONTGOMERY,115,115,1,32.33859379,-86.19444093,-86.19444092999998,32.33859379
TAP156175,AL,MADISON,HUNTSVILLE,-999999,-999999,3,34.778893,-86.652004,-86.652004,34.77889299999999
TAP156176,AL,MADISON,HUNTSVILLE,-999999,-999999,3,34.793591,-86.666451,-86.666451,34.793591
UNKNOWN156493,MN,BROWN,SLEEPY EYE,69,69,1,44.31511474,-94.66396524,-94.66396524,44.31511473999999
TAP156177,AL,MADISON,HUNTSVILLE,-999999,-999999,3,34.793462,-86.669452,-86.669452,34.793462
TAP156178,AL,MADISON,HUNTSVILLE,-999999,-999999,3,34.75693751,-86.67877157,-86.67877157,34.75693751
TAP156179,AL,MADISON,HUNTSVILLE,-999999,-999999,3,34.75003,-86.677643,-86.677643,34.750029999999995
UNKNOWN156495,WI,OUTAGAMIE,NEW LONDON,-999999,-999999,1,44.4164634,-88.7240865,-88.7240865,44.4164634
TAP156180,AL,MADISON,HUNTSVILLE,-999999,-999999,3,34.744623,-86.678332,-86.678332,34.74462299999998
TAP156181,AL,MADISON,HUNTSVILLE,-999999,-999999,3,34.748589,-86.693121,-86.69312100000002,34.748588999999996
TAP156182,AL,MADISON,HUNTSVILLE,-999999,-999999,3,34.756972,-86.669547,-86.669547,34.756972
TAP156183,AL,MADISON,HUNTSVILLE,-999999,-999999,3,34.72762073,-86.6272371,-86.6272371,34.72762072999999
TAP156184,AL,MADISON,HUNTSVILLE,-999999,-999999,3,34.72768,-86.63599,-86.63599,34.72768
TAP155982,KY,GRAYSON,LEITCHFIELD,69,69,3,37.48412204,-86.29676612,-86.29676612,37.484122039999995
TAP156185,AL,MADISON,HUNTSVILLE,-999999,-999999,3,34.728634,-86.644167,-86.644167,34.72863399999999
TAP155983,KY,GRAYSON,LEITCHFIELD,69,69,3,37.48057091,-86.31004382,-86.31004382000002,37.48057091
TAP156186,AL,MADISON,HUNTSVILLE,-999999,-999999,3,34.738862,-86.660546,-86.660546,34.738862
TAP155984,KY,OHIO,BEAVER DAM,161,161,3,37.33924422,-86.90373363,-86.90373363,37.33924421999999
TAP156187,AL,MADISON,HUNTSVILLE,-999999,-999999,3,34.746133,-86.669797,-86.669797,34.746133
TAP156188,AL,MADISON,MADISON,-999999,-999999,3,34.728869,-86.741305,-86.741305,34.728868999999996
TAP155985,KY,CALDWELL,PRINCETON,161,161,3,37.24902761,-87.90013334,-87.90013334,37.24902761
TAP156189,AL,MADISON,HUNTSVILLE,-999999,-999999,3,34.753689,-86.740826,-86.740826,34.753689
TAP155986,KY,SHELBY,SHELBYVILLE,69,69,3,38.19938519,-85.14069806,-85.14069806,38.19938519
TAP156190,AL,MADISON,MADISON,-999999,-999999,3,34.753199,-86.746028,-86.746028,34.75319900000001
TAP155987,KY,FRANKLIN,FRANKFORT,-999999,-999999,3,38.1793121,-84.89658135,-84.89658135,38.1793121
